timestamp,price_eur_mwh,grid_load_mw,rolling_avg_price,high_demand_flag
2026-08-20 00:00:00,62.48,32912,62.48,True
2026-08-20 01:00:00,64.7,26394,63.59,False
2026-08-20 02:00:00,73.63,18556,66.94,False
2026-08-20 03:00:00,82.23,18890,73.52,False
2026-08-20 04:00:00,76.59,23838,77.48,False
2026-08-20 05:00:00,78.41,29502,79.08,True
2026-08-20 06:00:00,87.85,25627,80.95,False
2026-08-20 07:00:00,82.68,23792,82.98,False
2026-08-20 08:00:00,73.99,25555,81.51,False
2026-08-20 09:00:00,75.33,25253,77.33,False
2026-08-20 10:00:00,65.65,23433,71.66,False
2026-08-20 11:00:00,60.39,25233,67.12,False
2026-08-20 12:00:00,58.49,26016,61.51,False
2026-08-20 13:00:00,42.47,17612,53.78,False
2026-08-20 14:00:00,38.75,30787,46.57,True
2026-08-20 15:00:00,40.85,32159,40.69,True
2026-08-20 16:00:00,36.09,27206,38.56,False
2026-08-20 17:00:00,41.62,23226,39.52,False
2026-08-20 18:00:00,35.88,29541,37.86,True
2026-08-20 19:00:00,35.18,18152,37.56,False
2026-08-20 20:00:00,52.71,16585,41.26,False
2026-08-20 21:00:00,48.48,18943,45.46,False
2026-08-20 22:00:00,54.94,34457,52.04,True
2026-08-20 23:00:00,52.88,16021,52.1,False
